GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017
0610000US4200100116,4200100116,"Abbottstown borough, Adams County, Pennsylvania",1011,1011,1010,1011,1008,1006,1009,1012,1013,1020
0610000US4200102928,4200102928,"Arendtsville borough, Adams County, Pennsylvania",952,952,951,952,950,947,951,953,954,961
0610000US4200105536,4200105536,"Bendersville borough, Adams County, Pennsylvania",641,641,641,641,640,640,641,642,644,649
0610000US4200105880,4200105880,"Berwick township, Adams County, Pennsylvania",2389,2389,2390,2385,2377,2372,2375,2381,2382,2396
0610000US4200106296,4200106296,"Biglerville borough, Adams County, Pennsylvania",1200,1200,1202,1200,1196,1195,1197,1201,1204,1212
0610000US4200107560,4200107560,"Bonneauville borough, Adams County, Pennsylvania",1800,1800,1802,1802,1797,1794,1798,1806,1807,1821
0610000US4200110456,4200110456,"Butler township, Adams County, Pennsylvania",2567,2567,2568,2567,2562,2557,2565,2572,2577,2594
0610000US4200111472,4200111472,"Carroll Valley borough, Adams County, Pennsylvania",3876,3876,3879,3878,3869,3863,3874,3889,3895,3922
0610000US4200115632,4200115632,"Conewago township, Adams County, Pennsylvania",7085,7095,7099,7098,7082,7073,7090,7115,7125,7173
0610000US4200117640,4200117640,"Cumberland township, Adams County, Pennsylvania",6162,6177,6180,6178,6161,6152,6164,6180,6188,6229
0610000US4200120792,4200120792,"East Berlin borough, Adams County, Pennsylvania",1521,1521,1522,1521,1517,1516,1520,1525,1528,1537
0610000US4200124560,4200124560,"Fairfield borough, Adams County, Pennsylvania",507,507,507,507,506,506,507,509,509,512
0610000US4200127320,4200127320,"Franklin township, Adams County, Pennsylvania",4877,4877,4879,4878,4866,4859,4868,4883,4890,4921
0610000US4200127704,4200127704,"Freedom township, Adams County, Pennsylvania",831,831,831,832,829,827,828,833,832,838
0610000US4200128936,4200128936,"Germany township, Adams County, Pennsylvania",2700,2700,2701,2701,2694,2691,2697,2705,2711,2729
0610000US4200128960,4200128960,"Gettysburg borough, Adams County, Pennsylvania",7620,7605,7608,7633,7644,7610,7570,7687,7595,7633
0610000US4200132144,4200132144,"Hamilton township, Adams County, Pennsylvania",2530,2530,2531,2532,2525,2520,2526,2534,2538,2555
0610000US4200132200,4200132200,"Hamiltonban township, Adams County, Pennsylvania",2372,2372,2373,2373,2369,2364,2371,2378,2383,2401
0610000US4200134424,4200134424,"Highland township, Adams County, Pennsylvania",943,943,943,943,940,940,943,945,947,955
0610000US4200136424,4200136424,"Huntington township, Adams County, Pennsylvania",2369,2369,2370,2368,2362,2361,2366,2372,2375,2392
0610000US4200141672,4200141672,"Latimore township, Adams County, Pennsylvania",2580,2580,2581,2581,2576,2571,2579,2587,2592,2609
