name,muni type,agency,total or undetermined (including sgt/chief),source,full time,part time,source,budget,budget year,muni budget,muni budget year,articles about consolidation
aspinwall,borough,Aspinwall P.D.,11,p1,6,5,,"$582,551.00",2017,"$2,374,000.00",2017,https://triblive.com/local/foxchapel/13100773-74/aspinwall-police-study-suggests-shared-services
avalon,borough,Avalon P.D.,9,p1,,,,"$1,063,824.00",2016,"$3,376,136.00",2016,
baldwin,borough,Baldwin Borough P.D.,30,p1,,,,"$3,845,651.00",2018,"$12,399,920.00",2018,
baldwin,township,Baldwin Township P.D.,6,p1,,,,"$754,029.00",2018,"$1,766,931.00",2018,
bell acres,borough,Bell Acres P.D.,9,counted from website,,,,,,,,
bellevue,borough,Bellevue P.D.,16,counted from website,10,3,website,,,,,
bethel park,municipality,Bethel Park P.D.,38,p1,,,,"$6,095,503.00",2018,"$48,769,835.00",2018,
blawnox,borough,Blawnox P.D.,no data,,,,,,,,,http://www.post-gazette.com/local/north/2018/05/03/Blawnox-O-Hara-show-interested-in-regional-police-department/stories/201804270115
brackenridge,borough,Brackenridge P.D.,5,p1,,,,,,,,
braddock hills,borough,Braddock Hills P.D.,21,p1,,,,,,,,
braddock,borough,Braddock P.D.,23,p1,,,,,,,,
brentwood,borough,Brentwood P.D.,12,counted from website,,,,,,,,
bridgeville,borough,Bridgeville P.D.,9,p1,,,,"$932,875.00",,"$3,032,737.00",,
carnegie,borough,Carnegie P.D.,13,article,,,,,,,,
pennsbury village,borough,Carnegie P.D.,13,,,,,,,,,
castle shannon,borough,Castle Shannon P.D.,15,counted from website,,,,,,,,
cheswick,borough,Cheswick P.D.,9,p1,1,8,,"$330,000.00",,"$1,600,000.00",,
churchill,borough,Churchill P.D.,9,p1,,,,,,,,
clairton,city,Clairton P.D.,30,p1,,,,,,,,
collier,township,Collier P.D.,13,p1,,,,,,,,
coraopolis,borough,Coraopolis P.D.,8,p1,,,,,,,,
crafton,borough,Crafton P.D.,9,p1,,,,"$1,319,600.00",,"$7,257,500.00",,
thornburg,borough,Crafton P.D.,9,,,,,,,,,
crescent,township,Crescent P.D.,10,counted from website,1,7,counted from website,,,,,
dormont,borough,Dormont P.D.,17,counted from website,,,,,,,,
dravosburg,borough,Dravosburg P.D.,15,p1,,,,,,,,
duquesne,city,Duquesne P.D.,18,p1,,,,,,,,
east deer,township,East Deer P.D.,8,counted from website,,,,,,,,
east mckeesport,borough,East McKeesport P.D.,10,counted from website,3,7,website,,,,,
wall,borough,East McKeesport P.D.,10,,,,,,,,,
east pittsburgh,borough,East Pittsburgh P.D.,9,counted from website,,,,,,,,
edgewood,borough,Edgewood P.D.,19,p1,6,6,,"$1,260,313.00",,"$3,373,421.00",,
edgeworth,borough,Edgeworth P.D.,10,website,3,6,website,,,,,
elizabeth,borough,Elizabeth Borough P.D.,8,p1,,,,"$306,700.00",,"$750,500.00",,
west elizabeth,borough,Elizabeth Borough P.D.,8,p1,,,,,,,,
elizabeth,township,Elizabeth Township P.D.,11,website,11,,,,,,,
etna,borough,Etna P.D.,7,website,6,2,website,,,,,
fawn,township,Fawn Township P.D.,5,p1,,,,,,,,
findlay,township,Findlay Township P.D.,19,counted from 2016 annual report,,,,"$2,983,630.00",2018,"$10,468,361.00",2018,
chalfant,borough,Forest Hills P.D.,no data,,,,,,,,,
forest hills,borough,Forest Hills P.D.,no data,,,,,,,,,
forward,township,Forward Township P.D.,8,,4,3,article,,,,,https://triblive.com/x/dailynewsmckeesport/s_745830.html
fox chapel,borough,Fox Chapel P.D.,11,p1,,,,"$1,622,900.00",2018,"$8,255,500.00",2018,
franklin park,borough,Franklin Park P.D.,12,count website,,,,,,,,
