,name,agency
0,cheswick,Cheswick P.D.
1,edgeworth,Edgeworth P.D.
2,sewickley,Sewickley P.D.
3,sewickley heights,Sewickley Heights P.D.
4,harmar,Harmar Township P.D.
5,fox chapel,Franklin Park P.D.
6,franklin park,None
7,bell acres,Bell Acres P.D.
8,leet,Leet Township P.D.
9,leetsdale,Leetsdale P.D
10,sewickley hills,Ohio Township P.D.
11,ohio,Ohio Township P.D.
12,richland,Northern Regional P.D.
13,mccandless,McCandless P.D.
14,haysville,None
15,frazer,Frazer Township P.D.
16,fawn,Fawn Township P.D.
17,harrison,Harrison Township P.D.
18,tarentum,Tarentum P.D.
19,glen osborne,None
20,emsworth,Ohio Township P.D.
21,glenfield,None
22,avalon,Avalon P.D.
23,millvale,Millvale P.D.
24,neville,Ohio Township P.D.
25,ben avon,Ohio Township P.D.
26,ben avon heights,Ohio Township P.D.
27,reserve,Reserve P.D.
28,shaler,Shaler Township P.D.
29,east deer,East Deer P.D.
30,wilkinsburg,Wilkinsburg P.D.
31,plum,Plum P.D.
32,braddock hills,Braddock Hills P.D.
33,rankin,Rankin P.D.
34,swissvale,Swissvale P.D.
35,edgewood,Edgewood P.D.
36,west view,West View P.D.
37,churchill,Churchill P.D.
38,monroeville,Monroeville P.D.
39,chalfant,Forest Hills P.D.
40,ross,Ross Township P.D.
41,brackenridge,Brackenridge P.D.
42,springdale,Springdale Borough P.D.
43,springdale,Springdale Borough P.D.
44,springdale,Springdale Township P.D.
45,springdale,Springdale Township P.D.
46,springdale,Springdale Borough P.D.
47,springdale,Springdale Borough P.D.
48,springdale,Springdale Township P.D.
49,springdale,Springdale Township P.D.
50,heidelberg,Heidelberg P.D.
51,etna,Etna P.D.
52,verona,Verona P.D.
53,pennsbury village,Carnegie P.D.
54,clairton,Clairton P.D.
55,oakmont,Oakmont P.D.
56,blawnox,Blawnox P.D.
57,pleasant hills,Pleasant Hills P.D.
58,sharpsburg,Sharpsburg P.D.
59,wilkins,Wilkins Township P.D.
60,turtle creek,Turtle Creek P.D.
61,braddock,Braddock P.D.
62,east pittsburgh,East Pittsburgh P.D.
63,north braddock,North Braddock P.D.
64,wilmerding,North Versailles P.D.
65,wall,East McKeesport P.D.
66,versailles,Versailles P.D.
67,dravosburg,None
68,mckeesport,McKeesport P.D.
69,port vue,Port Vue P.D.
70,glassport,Glassport P.D.
71,duquesne,Duquesne P.D.
72,liberty,Liberty P.D.
73,lincoln,Lincoln P.D.
74,elizabeth,Elizabeth Borough P.D.
75,elizabeth,Elizabeth Borough P.D.
76,elizabeth,Elizabeth Township P.D.
77,elizabeth,Elizabeth Township P.D.
78,elizabeth,Elizabeth Borough P.D.
79,elizabeth,Elizabeth Borough P.D.
80,elizabeth,Elizabeth Township P.D.
81,elizabeth,Elizabeth Township P.D.
82,west elizabeth,Elizabeth Borough P.D.
83,south park,South Park P.D.
84,west mifflin,West Mifflin P.D.
85,mount oliver,Mt. Oliver P.D.
86,whitaker,Whitaker P.D.
87,homestead,Homestead P.D.
88,munhall,Munhall P.D.
89,west homestead,West Homestead P.D.
90,green tree,Greentree P.D.
91,dormont,Dormont P.D.
92,baldwin,Baldwin Borough P.D.
93,baldwin,Baldwin Borough P.D.
94,baldwin,Baldwin Township P.D.
95,baldwin,Baldwin Township P.D.
96,baldwin,Baldwin Borough P.D.
97,baldwin,Baldwin Borough P.D.
98,baldwin,Baldwin Township P.D.
99,baldwin,Baldwin Township P.D.
100,brentwood,Brentwood P.D.
101,whitehall,Whitehall P.D.
102,mount lebanon,Mt. Lebanon P.D.
103,castle shannon,Castle Shannon P.D.
104,kennedy,Kennedy Township P.D.
105,bridgeville,Bridgeville P.D.
106,upper st. clair,Upper St. Clair P.D.
107,ingram,Ingram P.D.
108,stowe,Stowe Township P.D.
109,mckees rocks,McKees Rocks P.D.
110,thornburg,Crafton P.D.
111,crafton,Crafton P.D.
112,rosslyn farms,Rosslyn Farms P.D.
113,scott,Scott Township P.D.
114,carnegie,Carnegie P.D.
115,crescent,Crescent P.D.
116,moon,Moon Township P.D.
117,coraopolis,Coraopolis P.D.
118,robinson,Robinson Township P.D.
119,oakdale,Oakdale P.D.
120,mcdonald,McDonald P.D.
121,south fayette,South Fayette P.D.
122,north fayette,North Fayette P.D.
123,findlay,Findlay Township P.D.
124,forward,Forward Township P.D.
125,south versailles,White Oak P.D.
126,white oak,White Oak P.D.
127,north versailles,North Versailles P.D.
128,pine,Northern Regional P.D.
129,marshall,Northern Regional P.D.
130,bradford woods,Northern Regional P.D.
131,aleppo,Ohio Township P.D.
132,collier,Collier P.D.
133,hampton,Hampton P.D.
134,pitcairn,Pitcairn P.D.
135,indiana,Indiana Township P.D.
136,o'hara,OHara Township P.D.
137,aspinwall,Aspinwall P.D.
138,west deer,West Deer P.D.
139,jefferson hills,Jefferson Hills P.D.
140,bellevue,Bellevue P.D.
141,bethel park,Bethel Park P.D.
142,trafford,Trafford P.D.
143,kilbuck,Ohio Township P.D.
144,east mckeesport,East McKeesport P.D.
145,pittsburgh,Pittsburgh P.D.
146,penn hills,Penn Hills P.D.
147,forest hills,Forest Hills P.D.
